version https://git-lfs.github.com/spec/v1
oid sha256:bfb2d98ca4c1ab31e481e6be3cd5ff57266bdda2bef29b0a036c535aead5b7d9
size 186015955
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,10.0,3.0,1.0,1.0,0.0
-2.0,-2.0,0.0,0.0,0.0,1.0,2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,10.0,-2.0,-2.0,0.0,0.0,0.0,1.0,2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,10.0,3.0,1.0,1.0,0.0,-2.0,-2.0,10.0,3.0,10.0,1.0,0.0,-2.0,-2.0,2.0,3.0,2.0,2.0,1.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,10.0,3.0,1.0,1.0,-2.0,-2.0,-2.0,10.0,3.0,10.0,1.0,0.0
0.0,1.0,10.0,10.0,2.0,1.0,-2.0,0.0,1.0,2.0,3.0,10.0,1.0,-2.0,0.0,0.0,0.0,1.0,1.0,1.0,-2.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0,10.0,1.0,0.0,0.0,1.0,10.0,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,-2.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-2.0,0.0
-2.0,0.0,0.0,0.0,1.0,2.0,3.0,-2.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.0,10.0,3.0,1.0,1.0,0.0,0.0,-2.0,10.0,3.0,10.0,1.0,0.0,0.0,-2.0,2.0,3.0,2.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,1.0,2.0,2.0,1.0,0.0,-2.0,0.0,1.0,10.0,10.0,2.0,1.0,-2.0,0.0,1.0,2.0,3.0,10.0,1.0,-2.0,0.0,0.0,0.0,1.0,1.0,1.0,-2.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0,10.0,1.0,0.0,0.0,1.0,10.0,-2.0,0.0
-2.0,1.0,1.0,0.0,0.0,0.0,1.0,-2.0,10.0,3.0,1.0,1.0,0.0,0.0,-2.0,10.0,3.0,10.0,1.0,0.0,0.0,-2.0,2.0,3.0,2.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0,10.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
-2.0,10.0,3.0,1.0,1.0,0.0,0.0,-2.0,10.0,3.0,10.0,1.0,0.0,0.0,-2.0,2.0,3.0,2.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,10.0,3.0,1.0,1.0,-2.0,-2.0,-2.0,10.0,3.0,10.0,1.0,-2.0,-2.0,-2.0,2.0,3.0,2.0,2.0,-2.0,-2.0,-2.0,-1.0,-1.0,1.0,-1.0,0.0
-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,10.0,3.0,1.0,1.0,-2.0,-2.0,-2.0,10.0,3.0,10.0,1.0,-2.0,-2.0,-2.0,2.0,3.0,2.0,2.0,-2.0,-2.0,-2.0,-1.0,-1.0,1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
1.0,1.0,0.0,0.0,1.0,1.0,-2.0,10.0,1.0,0.0,0.0,1.0,10.0,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,-2.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
0.0,0.0,1.0,2.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,1.0,0.0,0.0,1.0,10.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,0.0,0.0,0.0,1.0,2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,10.0,3.0,1.0,1.0,0.0,-2.0,-2.0,10.0,3.0,10.0,1.0,0.0,-2.0,-2.0,2.0,3.0,2.0,2.0,1.0,-2.0,-2.0,-1.0,-1.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
10.0,3.0,1.0,1.0,0.0,0.0,1.0,10.0,3.0,10.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-64
0.0,0.0,0.0,2.0,10.0,-1.0,-2.0,0.0,0.0,0.0,2.0,10.0,-1.0,-2.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-2.0,1.0,0.0,1.0,1.0,-1.0,-1.0,-2.0,1.0,0.0,1.0,10.0,-1.0,-1.0,-2.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0,3.0
0.0,0.0,2.0,10.0,-1.0,-2.0,-2.0,0.0,0.0,1.0,2.0,-1.0,-2.0,-2.0,0.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,0.0,1.0,10.0,1.0,-1.0,-2.0,-2.0,0.0,1.0,-1.0,-1.0,-1.0,-2.0,-2.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,6.0
1.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,-1.0,1.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0
3.0,1.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0
-2.0,-1.0,10.0,1.0,0.0,1.0,1.0,-2.0,-1.0,3.0,1.0,0.0,1.0,10.0,-2.0,-1.0,2.0,0.0,0.0,1.0,1.0,-2.0,-1.0,1.0,1.0,1.0,2.0,1.0,-2.0,-1.0,-1.0,-1.0,10.0,2.0,10.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,4.0
-2.0,-2.0,-1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,-1.0,2.0,1.0,0.0,0.0,-2.0,-2.0,-1.0,10.0,1.0,0.0,1.0,-2.0,-2.0,10.0,3.0,1.0,0.0,1.0,-2.0,-2.0,10.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,2.0,-2.0,-2.0,0.0,0.0,1.0,10.0,2.0,1.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,-1.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,10.0,3.0,1.0,0.0,-2.0,-2.0,-2.0,10.0,2.0,0.0,0.0,2.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,10.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,10.0,1.0,0.0,1.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,2.0,10.0,-1.0,1.0,0.0,0.0,0.0,2.0,10.0,10.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,2.0,10.0,-1.0,-2.0,0.0,0.0,0.0,2.0,10.0,10.0,-2.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0
-2.0,-2.0,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,10.0,1.0,0.0,1.0,-2.0,-2.0,10.0,3.0,1.0,0.0,1.0,-2.0,-2.0,10.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,2.0,-2.0,-2.0,0.0,0.0,1.0,10.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,1.0,1.0,0.0,-2.0,1.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,10.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,10.0,1.0,0.0,1.0,-2.0,-2.0,10.0,3.0,1.0,0.0,1.0,-2.0,-2.0,10.0,2.0,0.0,0.0,1.0,0.0
0.0,0.0,2.0,10.0,10.0,-2.0,-2.0,0.0,0.0,1.0,2.0,2.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,0.0,1.0,10.0,1.0,0.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,2.0,10.0,-1.0,-2.0,0.0,0.0,0.0,2.0,10.0,10.0,-2.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0
0.0,0.0,0.0,2.0,10.0,10.0,-2.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,1.0,1.0,0.0,-2.0,1.0,10.0,2.0,10.0,1.0,0.0,-2.0,0.0
-2.0,-2.0,2.0,10.0,1.0,0.0,1.0,-2.0,-2.0,10.0,3.0,1.0,0.0,1.0,-2.0,-2.0,10.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,2.0,-2.0,-2.0,0.0,0.0,1.0,10.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,1.0,1.0,0.0,0.0,0.0,2.0,-2.0,10.0,1.0,0.0,0.0,0.0,2.0,-2.0,2.0,2.0,1.0,0.0,0.0,1.0,-2.0,2.0,10.0,1.0,0.0,1.0,1.0,-2.0,10.0,3.0,1.0,0.0,1.0,10.0,-2.0,10.0,2.0,0.0,0.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
-2.0,2.0,10.0,1.0,0.0,1.0,1.0,-2.0,10.0,3.0,1.0,0.0,1.0,10.0,-2.0,10.0,2.0,0.0,0.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,-2.0,0.0,0.0,1.0,10.0,2.0,10.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,10.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,10.0,1.0,0.0,1.0,-2.0,-2.0,10.0,3.0,1.0,0.0,1.0,-2.0,-2.0,10.0,2.0,0.0,0.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,2.0,-2.0,-2.0,0.0,0.0,1.0,10.0,2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,10.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,10.0,1.0,0.0,1.0,-2.0,-2.0,10.0,3.0,1.0,0.0,1.0,0.0
2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,10.0,3.0,1.0,0.0,1.0,10.0,1.0,10.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,2.0,10.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
1.0,0.0,0.0,1.0,2.0,2.0,-2.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,1.0,1.0,0.0,-2.0,1.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
1.0,0.0,0.0,0.0,2.0,10.0,-1.0,1.0,0.0,0.0,0.0,2.0,10.0,10.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,2.0,10.0,-1.0,-2.0,0.0,0.0,0.0,2.0,10.0,10.0,-2.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0
-2.0,2.0,2.0,1.0,0.0,0.0,1.0,-2.0,2.0,10.0,1.0,0.0,1.0,1.0,-2.0,10.0,3.0,1.0,0.0,1.0,10.0,-2.0,10.0,2.0,0.0,0.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,-2.0,0.0,0.0,1.0,10.0,2.0,10.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,2.0,10.0,-1.0,-2.0,-2.0,0.0,0.0,2.0,10.0,10.0,-2.0,-2.0,0.0,0.0,1.0,2.0,2.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,0.0,1.0,10.0,1.0,0.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,2.0,10.0,-1.0,-2.0,-2.0,0.0,0.0,2.0,10.0,10.0,-2.0,-2.0,0.0,0.0,1.0,2.0,2.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,0.0,1.0,10.0,1.0,0.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,10.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,10.0,1.0,0.0,0.0,-2.0,-2.0,-2.0,2.0,2.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,10.0,3.0,1.0,0.0,-2.0,-2.0,-2.0,10.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,10.0,-1.0,-2.0,0.0,0.0,0.0,2.0,10.0,10.0,-2.0,1.0,0.0,0.0,1.0,2.0,2.0,-2.0,1.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,1.0,1.0,0.0,-2.0,0.0
0.0,0.0,1.0,2.0,2.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,0.0,1.0,10.0,1.0,0.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,2.0,10.0,-1.0,-2.0,-2.0,-2.0,0.0,2.0,10.0,10.0,-2.0,-2.0,-2.0,0.0,1.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,2.0,-2.0,10.0,1.0,0.0,0.0,0.0,2.0,-2.0,2.0,2.0,1.0,0.0,0.0,1.0,-2.0,2.0,10.0,1.0,0.0,1.0,1.0,0.0
-2.0,10.0,1.0,0.0,0.0,0.0,2.0,-2.0,2.0,2.0,1.0,0.0,0.0,1.0,-2.0,2.0,10.0,1.0,0.0,1.0,1.0,-2.0,10.0,3.0,1.0,0.0,1.0,10.0,-2.0,10.0,2.0,0.0,0.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,2.0,1.0,-2.0,0.0,0.0,1.0,10.0,2.0,10.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,-2.0,-2.0,10.0,1.0,0.0,0.0,0.0,-2.0,-2.0,2.0,2.0,1.0,0.0,0.0,-2.0,-2.0,2.0,10.0,1.0,0.0,1.0,0.0
0.0,2.0,10.0,10.0,-2.0,-2.0,-2.0,0.0,1.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,0.0
10.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,2.0,-2.0,10.0,1.0,0.0,0.0,0.0,2.0,-2.0,2.0,2.0,1.0,0.0,0.0,1.0,-2.0,2.0,10.0,1.0,0.0,1.0,1.0,-2.0,10.0,3.0,1.0,0.0,1.0,10.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,2.0,-2.0,10.0,1.0,0.0,0.0,0.0,2.0,-2.0,2.0,2.0,1.0,0.0,0.0,1.0,-2.0,2.0,10.0,1.0,0.0,1.0,1.0,-2.0,10.0,3.0,1.0,0.0,1.0,10.0,-2.0,10.0,2.0,0.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
0.0,1.0,2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,1.0,1.0,0.0,-2.0,-2.0,-2.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
1.0,1.0,0.0,0.0,0.0,2.0,10.0,10.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,10.0,3.0,1.0,0.0,1.0,10.0,1.0,10.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,0.0,1.0,10.0,1.0,0.0,-2.0,-2.0,0.0,1.0,1.0,1.0,0.0,-2.0,-2.0,1.0,2.0,1.0,1.0,0.0,-2.0,-2.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
1.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,0.0,1.0,10.0,1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,1.0,1.0,2.0,1.0,1.0,0.0,-2.0,1.0,10.0,2.0,10.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,10.0,1.0,0.0,0.0,0.0,2.0,10.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,10.0,3.0,1.0,0.0,1.0,10.0,1.0,10.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,0.0,2.0,10.0,-1.0,1.0,0.0,0.0,0.0,2.0,10.0,10.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
